DATE,PROD ID,CPH L1,CPH L2,CPH L3,CPH L4,PROD NAME,REGULAR PRICE,DISCOUNTED PRICE,DISCOUNT RATE
2025/06/01,MWRH3KH/A,iPad,iPad Pro,iPad Pro 13in (M4),iPad Pro 13in (M4),IPAD PRO 13 WIFI 2TB SP BLK NT-KOR,3749000.0,3636530.0,0.03
2025/06/01,MWRF3KH/A,iPad,iPad Pro,iPad Pro 13in (M4),iPad Pro 13in (M4),IPAD PRO 13 WIFI 1TB SP BLK NT-KOR,3149000.0,3054530.0,0.03
2025/06/01,MWRR3KH/A,iPad,iPad Pro,iPad Pro 11in (M4),iPad Pro 11in (M4),IPAD PRO 11 WF CL 2TB SP BLK NT-KOR,3549000.0,3407040.0,0.04
2025/06/01,MXN93KH/A,iPad,iPad Mini,iPad Mini (A17 Pro),iPad Mini (A17 Pro),IPAD MINI WI-FI 128GB PURPLE-KOR,749000.0,684830.0,0.0857
2025/06/01,MVY03KH/A,iPad,iPad Pro,iPad Pro 13in (M4),iPad Pro 13in (M4),IPAD PRO 13 WF CL 2TB SILVER-KOR,3899000.0,3782030.0,0.03
2025/06/01,MVXR3KH/A,iPad,iPad Pro,iPad Pro 13in (M4),iPad Pro 13in (M4),IPAD PRO 13 WF CL 256GB SP BLK-KOR,2399000.0,2297000.0,0.0425
2025/06/01,MVXU3KH/A,iPad,iPad Pro,iPad Pro 13in (M4),iPad Pro 13in (M4),IPAD PRO 13 WF CL 512GB SP BLK-KOR,2699000.0,2699000.0,0.0
2025/06/01,MVXW3KH/A,iPad,iPad Pro,iPad Pro 13in (M4),iPad Pro 13in (M4),IPAD PRO 13 WF CL 1TB SP BLK-KOR,3299000.0,3200030.0,0.03
2025/06/01,MVX83KH/A,iPad,iPad Pro,iPad Pro 13in (M4),iPad Pro 13in (M4),IPAD PRO 13 WIFI 2TB SP BLK-KOR,3599000.0,3419040.0,0.05
2025/06/01,MVX63KH/A,iPad,iPad Pro,iPad Pro 13in (M4),iPad Pro 13in (M4),IPAD PRO 13 WIFI 1TB SP BLK-KOR,2999000.0,2909030.0,0.03
2025/06/01,MVX53KH/A,iPad,iPad Pro,iPad Pro 13in (M4),iPad Pro 13in (M4),IPAD PRO 13 WIFI 512GB SILVER-KOR,2399000.0,2279040.0,0.05
2025/06/01,MVX93KH/A,iPad,iPad Pro,iPad Pro 13in (M4),iPad Pro 13in (M4),IPAD PRO 13 WIFI 2TB SILVER-KOR,3599000.0,3419040.0,0.05
2025/06/01,MX2W3KH/A,Mac,MacBook Pro,MacBook Pro 15/16,MacBook Pro 16in J616,MBP 16 SL/16C/40C GPU/48GB/1T-KOR,5990000.0,5810300.0,0.03
2025/06/01,MX2V3KH/A,Mac,MacBook Pro,MacBook Pro 15/16,MacBook Pro 16in J616,MBP 16 SL/14C/32C GPU/36GB/1T-KOR,5190000.0,4930500.0,0.05
2025/06/01,MX313KH/A,Mac,MacBook Pro,MacBook Pro 15/16,MacBook Pro 16in J616,MBP 16 SB/16C/40C GPU/48GB/1T-KOR,5990000.0,5810300.0,0.03
2025/06/01,MX2Y3KH/A,Mac,MacBook Pro,MacBook Pro 15/16,MacBook Pro 16in J616,MBP 16 SB/14C/20C GPU/48GB/512G-KOR,4290000.0,4290000.0,0.0
2025/06/01,MVW43KH/A,iPad,iPad Pro,iPad Pro 11in (M4),iPad Pro 11in (M4),IPAD PRO 11 WF CL 512GB SILVER-KOR,2199000.0,2199000.0,0.0
2025/06/01,MVX23KH/A,iPad,iPad Pro,iPad Pro 13in (M4),iPad Pro 13in (M4),IPAD PRO 13 WIFI 256GB SP BLK-KOR,2099000.0,1994050.0,0.05
2025/06/01,MVW83KH/A,iPad,iPad Pro,iPad Pro 11in (M4),iPad Pro 11in (M4),IPAD PRO 11 WF CL 2TB SILVER-KOR,3399000.0,3195060.0,0.06
2025/06/01,MVW63KH/A,iPad,iPad Pro,iPad Pro 11in (M4),iPad Pro 11in (M4),IPAD PRO 11 WF CL 1TB SILVER-KOR,2799000.0,2659050.0,0.05
2025/06/01,MVVF3KH/A,iPad,iPad Pro,iPad Pro 11in (M4),iPad Pro 11in (M4),IPAD PRO 11 WIFI 1TB SILVER-KOR,2499000.0,2124150.0,0.15
2025/06/01,MVV83KH/A,iPad,iPad Pro,iPad Pro 11in (M4),iPad Pro 11in (M4),IPAD PRO 11 WIFI 256GB SP BLK-KOR,1599000.0,1448800.0,0.0939
2025/06/01,MVVG3KH/A,iPad,iPad Pro,iPad Pro 11in (M4),iPad Pro 11in (M4),IPAD PRO 11 WIFI 2TB SP BLK-KOR,3099000.0,2665140.0,0.14
2025/06/01,MVW33KH/A,iPad,iPad Pro,iPad Pro 11in (M4),iPad Pro 11in (M4),IPAD PRO 11 WF CL 512GB SP BLK-KOR,2199000.0,2199000.0,0.0
2025/06/01,MVV93KH/A,iPad,iPad Pro,iPad Pro 11in (M4),iPad Pro 11in (M4),IPAD PRO 11 WIFI 256GB SILVER-KOR,1599000.0,1396800.0,0.1265
2025/06/01,MXN73KH/A,iPad,iPad Mini,iPad Mini (A17 Pro),iPad Mini (A17 Pro),IPAD MINI WI-FI 128GB BLUE-KOR,749000.0,684830.0,0.0857
2025/06/01,MYHF3KH/A,iPad,iPad Mini,iPad Mini (A17 Pro),iPad Mini (A17 Pro),IPAD MINI WI-FI CL 512GB PURP-KOR,1449000.0,1449000.0,0.0
2025/06/01,MYGY3KH/A,iPad,iPad Mini,iPad Mini (A17 Pro),iPad Mini (A17 Pro),IPAD MINI WI-FI 512GB SPACE GRAY-KOR,1199000.0,1127060.0,0.06
2025/06/01,MYHD3KH/A,iPad,iPad Mini,iPad Mini (A17 Pro),iPad Mini (A17 Pro),IPAD MINI WI-FI CL 512GB BLUE-KOR,1449000.0,1449000.0,0.0
2025/06/01,MX2G3KH/A,Mac,MacBook Pro,MacBook Pro 13/14,MacBook Pro 14in J614,MBP 14 SL/14C/32C GPU/36GB/1T-KOR,4790000.0,4646300.0,0.03
2025/06/01,MX2J3KH/A,Mac,MacBook Pro,MacBook Pro 13/14,MacBook Pro 14in J614,MBP 14 SB/14C/20C GPU/24GB/1T-KOR,3590000.0,3482300.0,0.03
2025/06/01,MX2K3KH/A,Mac,MacBook Pro,MacBook Pro 13/14,MacBook Pro 14in J614,MBP 14 SB/14C/32C GPU/36GB/1T-KOR,4790000.0,4646300.0,0.03
2025/06/01,MXN63KH/A,iPad,iPad Mini,iPad Mini (A17 Pro),iPad Mini (A17 Pro),IPAD MINI WI-FI 128GB SPACE GRAY-KOR,749000.0,684830.0,0.0857
2025/06/01,MXNA3KH/A,iPad,iPad Mini,iPad Mini (A17 Pro),iPad Mini (A17 Pro),IPAD MINI WI-FI 256GB SPACE GRAY-KOR,899000.0,817920.0,0.0902
2025/06/01,MXNE3KH/A,iPad,iPad Mini,iPad Mini (A17 Pro),iPad Mini (A17 Pro),IPAD MINI WI-FI 256GB PURPLE-KOR,899000.0,817920.0,0.0902
2025/06/01,MCX14KH/A,Mac,MacBook Pro,MacBook Pro 13/14,MacBook Pro 14in J604,MBP 14 SL/10C/10C GPU/24GB/1TB-KOR,2990000.0,2900300.0,0.03
2025/06/01,MCQ04KH/A,iPad,iPad Air,iPad Air 13in (M3),iPad Air 13in (M3),IPAD AIR 13 WIFI 1TB SPG-KOR,1999000.0,1999000.0,0.0
2025/06/01,MCNL4KH/A,iPad,iPad Air,iPad Air 13in (M3),iPad Air 13in (M3),IPAD AIR 13 WIFI 128GB PUR-KOR,1249000.0,1211530.0,0.03
2025/06/01,MCQ24KH/A,iPad,iPad Air,iPad Air 13in (M3),iPad Air 13in (M3),IPAD AIR 13 WIFI 1TB STL-KOR,1999000.0,1999000.0,0.0
2025/06/01,MW2U3KH/A,Mac,MacBook Pro,MacBook Pro 13/14,MacBook Pro 14in J604,MBP 14 SB/10C/10C GPU/16GB/512GB-KOR,2390000.0,2270500.0,0.05
2025/06/01,MCNT4KH/A,iPad,iPad Air,iPad Air 13in (M3),iPad Air 13in (M3),IPAD AIR 13 WIFI 512GB SPG-KOR,1699000.0,1699000.0,0.0
2025/06/01,MCNX4KH/A,iPad,iPad Air,iPad Air 13in (M3),iPad Air 13in (M3),IPAD AIR 13 WIFI 512GB STL-KOR,1699000.0,1699000.0,0.0
2025/06/01,MCJG4KH/A,iPad,iPad Air,iPad Air 13in (M3),iPad Air 13in (M3),IPAD AIR 13 WF CL 1TB STL-KOR,2249000.0,2249000.0,0.0
2025/06/01,MCJ44KH/A,iPad,iPad Air,iPad Air 13in (M3),iPad Air 13in (M3),IPAD AIR 13 WF CL 128GB PUR-KOR,1499000.0,1454030.0,0.03
2025/06/01,MCJF4KH/A,iPad,iPad Air,iPad Air 13in (M3),iPad Air 13in (M3),IPAD AIR 13 WF CL 1TB BLU-KOR,2249000.0,2249000.0,0.0
2025/06/01,MCJE4KH/A,iPad,iPad Air,iPad Air 13in (M3),iPad Air 13in (M3),IPAD AIR 13 WF CL 1TB SPG-KOR,2249000.0,2249000.0,0.0
2025/06/01,MCJA4KH/A,iPad,iPad Air,iPad Air 13in (M3),iPad Air 13in (M3),IPAD AIR 13 WF CL 512GB BLU-KOR,1949000.0,1949000.0,0.0
2025/06/01,MRJ83KH/A,Watch,Series 9,Series 9 Cell,Series 9 Cell,APPLE WATCH S9 41 GP SS MI SB SM CEL-KOR,999000.0,937510.0,0.0616
2025/06/01,MRJ53KH/A,Watch,Series 9,Series 9 Cell,Series 9 Cell,APPLE WATCH S9 41 GD SS CL SB SM CEL-KOR,999000.0,937510.0,0.0616
2025/06/01,MNKE3KH/A,Watch,Series 8,Series 8 Cell,Series 8 Cell,APPLE WATCH S8 45 SIL SS WT SP CEL-KOR,1002970.0,1002970.0,0.0
2025/06/01,MRJ33KH/A,Watch,Series 9,Series 9 Cell,Series 9 Cell,APPLE WATCH S9 41 SI SS SB SB ML CEL-KOR,999000.0,937510.0,0.0616
2025/06/01,MRJ63KH/A,Watch,Series 9,Series 9 Cell,Series 9 Cell,APPLE WATCH S9 41 GD SS CL SB ML CEL-KOR,999000.0,937510.0,0.0616
2025/06/01,MCJ84KH/A,iPad,iPad Air,iPad Air 13in (M3),iPad Air 13in (M3),IPAD AIR 13 WF CL 256GB PUR-KOR,1649000.0,1649000.0,0.0
2025/06/01,MX5V3KH/A,Watch,Ultra 2,Ultra 2 Cell,Ultra 2 Cell,APPLE WATCH ULTRA2 49 BK TI BK TML L-KOR,1299000.0,1299000.0,0.0
2025/06/01,MX5T3KH/A,Watch,Ultra 2,Ultra 2 Cell,Ultra 2 Cell,APPLE WATCH ULTRA2 49 NT TI NT TML L-KOR,1299000.0,1299000.0,0.0
2025/06/01,MCJ34KH/A,iPad,iPad Air,iPad Air 13in (M3),iPad Air 13in (M3),IPAD AIR 13 WF CL 128GB STL-KOR,1499000.0,1454030.0,0.03
2025/06/01,MX4W3KH/A,Watch,Ultra 2,Ultra 2 Cell,Ultra 2 Cell,APPLE WATCH ULTRA2 49 BK TI BK TML S-KOR,1299000.0,1299000.0,0.0
2025/06/01,MCG54KH/A,iPad,iPad Air,iPad Air 11in (M3),iPad Air 11in (M3),IPAD AIR 11 WF CL 512GB BLU-KOR,1649000.0,1599530.0,0.03
2025/06/01,MCJ14KH/A,iPad,iPad Air,iPad Air 13in (M3),iPad Air 13in (M3),IPAD AIR 13 WF CL 128GB SPG-KOR,1499000.0,1454030.0,0.03
2025/06/01,MCG24KH/A,iPad,iPad Air,iPad Air 11in (M3),iPad Air 11in (M3),IPAD AIR 11 WF CL 256GB STL-KOR,1349000.0,1281530.0,0.05
2025/06/01,MX4U3KH/A,Watch,Ultra 2,Ultra 2 Cell,Ultra 2 Cell,APPLE WATCH ULTRA2 49 BK TI BK TL SM-KOR,1149000.0,1080060.0,0.06
2025/06/01,MX4M3KH/A,Watch,Ultra 2,Ultra 2 Cell,Ultra 2 Cell,APPLE WATCH ULTRA2 49 NT TI NT TML S-KOR,1299000.0,1299000.0,0.0
2025/06/01,MX4J3KH/A,Watch,Ultra 2,Ultra 2 Cell,Ultra 2 Cell,APPLE WATCH ULTRA2 49 N TI BLU TL SM-KOR,1149000.0,1080060.0,0.06
2025/06/01,MCG34KH/A,iPad,iPad Air,iPad Air 11in (M3),iPad Air 11in (M3),IPAD AIR 11 WF CL 256GB PUR-KOR,1349000.0,1308530.0,0.03
2025/06/01,MX4P3KH/A,Watch,Ultra 2,Ultra 2 Cell,Ultra 2 Cell,APPLE WATCH ULTRA2 49 BK TI BK OB-KOR,1149000.0,1080060.0,0.06
2025/06/01,MX003KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 46 GD TI GD ML ML CEL-KOR,1139000.0,1139000.0,0.0
2025/06/01,MC7T4KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 46 GD TI GD ML SM CEL-KOR,1139000.0,1139000.0,0.0
2025/06/01,MWYY3KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 46 GD TI ST SB ML CEL-KOR,1069000.0,1069000.0,0.0
2025/06/01,MWYA3KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 46 NT TI SG SB ML CEL-KOR,1069000.0,1069000.0,0.0
2025/06/01,MWYD3KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 46 SL TI BK SB SM CEL-KOR,1069000.0,1069000.0,0.0
2025/06/01,MWY83KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 46 RG AL PLUM SL CEL-KOR,789000.0,789000.0,0.0
2025/06/01,MWYC3KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 46 NT TI NT ML ML CEL-KOR,1139000.0,1139000.0,0.0
2025/06/01,MWY73KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 46 RG AL LB SB ML CEL-KOR,789000.0,789000.0,0.0
2025/06/01,MC7Q4KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 46 NT TI NT ML SM CEL-KOR,1139000.0,1139000.0,0.0
2025/06/01,MWY03KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 46 SI AL DN SB SM CEL-KOR,789000.0,789000.0,0.0
2025/06/01,MWY33KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 46 JB AL BK SB SM CEL-KOR,789000.0,789000.0,0.0
2025/06/01,MX073KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 42 GD TI ST SB ML CEL-KOR,999000.0,999000.0,0.0
2025/06/01,MWXG3KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 42 SL TI BK SB SM CEL-KOR,999000.0,999000.0,0.0
2025/06/01,MWX93KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 42 RG AL LB SB SM CEL-KOR,749000.0,749000.0,0.0
2025/06/01,MXEV3KH/A,Watch,Watch SE (2nd Gen),Watch SE (2nd Gen) GPS,Watch SE (2nd Gen) GPS,APPLE WATCH SE 44 ST AL ST SB ML GPS-KOR,369000.0,365310.0,0.01
2025/06/01,MWWU3KH/A,Watch,Series 10,Series 10 GPS,Series 10 GPS,APPLE WATCH 10 46 RG AL LB SB ML GPS-KOR,639000.0,607050.0,0.05
2025/06/01,MWWP3KH/A,Watch,Series 10,Series 10 GPS,Series 10 GPS,APPLE WATCH 10 46 JB AL BK SB SM GPS-KOR,639000.0,607050.0,0.05
2025/06/01,MC9X4KH/A,iPad,iPad Air,iPad Air 11in (M3),iPad Air 11in (M3),IPAD AIR 11 WIFI 128GB BLU-KOR,949000.0,899180.0,0.0525
